Cryoaerosolization Enables Scalable Vitrification-Based Cell Cryopreservation
Joseph R. Kangas^1, Abhilash Ojha^1, Minhan Jiang, Mohammad Shameem, Bhairab N. Singh, John C. Bischof, Christopher J. Hogan Jr.
Ground_truth_diameter_um,Predicted_diameter_um
108.574783,94.548019
107.289833,107.559212
108.779861,109.294044
107.336678,95.993706
108.574783,95.993706
108.574783,115.944206
137.821930,91.945778
108.574783,116.233345
107.177597,109.583176
109.280540,108.715767
108.424797,95.126297
108.574783,109.583176
108.574783,111.028870
107.492226,111.028870
108.191696,109.294044
107.518044,109.294044
89.885994,111.318008
108.574783,111.028870
109.642471,111.896278
107.621750,113.052834
108.574783,104.956978
107.979187,109.583176
106.652847,112.185417
108.880829,111.607140
108.574783,110.450592
89.880821,111.896278
107.455940,110.450592
108.574783,102.933014
108.574783,109.294044
109.994774,110.161453
108.574783,109.294044
107.300514,109.294044
107.502563,108.426628
106.124062,98.595947
106.803085,109.294044
107.108765,109.294044
106.450584,109.583176
108.574783,109.294044
108.574783,106.980942
108.574783,111.028870
108.574783,109.294044
108.574783,109.294044
108.574783,103.222153
106.445496,109.294044
108.574783,110.161453
107.088043,138.496948
107.398956,113.341972
108.574783,107.270081
107.305603,111.028870
108.574783,111.028870
108.574783,107.559212
106.559502,108.715767
107.139847,106.113525
108.574783,108.426628
108.574783,103.800423
108.574783,111.028870
108.574783,114.787659
108.574783,108.715767
106.502510,111.028870
107.963707,109.294044
107.450775,110.161453
107.917015,109.583176
107.051811,109.004906
108.979195,109.872314
105.404144,109.583176
108.574783,109.294044
93.523064,109.872314
107.735748,107.559212
105.533676,111.318008
108.574783,112.474556
108.574783,112.185417
108.574783,106.691803
106.797897,110.739731
109.124352,113.052834
108.574783,110.739731
108.574783,109.583176
108.574783,106.402664
109.544037,111.607140
107.408958,108.426628
108.574783,111.318008
109.170967,109.872314
108.574783,112.763695
96.098381,109.872314
107.476646,106.980942
107.207253,112.763695
108.574783,109.294044
106.999977,112.474556
102.725288,106.980942
108.574783,104.378700
108.574783,111.896278
108.574783,112.763695
108.020683,109.294044
108.574783,108.715767
108.574783,106.691803
97.963524,111.318008
108.574783,111.028870
106.378227,109.294044
108.574783,111.028870
108.574783,110.161453
108.574783,110.450592
108.574783,109.004906
108.574783,106.402664
107.414375,109.004906
108.574783,111.607140
108.574783,118.257309
107.279716,110.161453
106.341965,109.583176
106.911873,108.426628
107.077698,112.185417
108.574783,98.017670
108.574783,106.402664
106.326378,97.150261
107.621704,110.161453
108.574783,104.089561
108.574783,108.137489
106.492058,110.161453
96.326424,113.920242
108.574783,98.306808
136.486862,115.365936
106.440323,113.920242
108.574783,112.185417
106.316055,109.583176
108.574783,109.872314
108.574783,110.161453
108.574783,107.848351
108.574783,108.426628
108.574783,110.450592
108.574783,109.004906
108.574783,108.715767
106.316063,111.028870
108.574783,109.294044
108.574783,111.607140
108.574783,111.028870
106.310883,107.848351
108.574783,110.161453
108.574783,110.450592
109.409325,113.052834
108.574783,117.389893
106.953346,109.583176
103.378220,105.246117
106.632126,120.570412
108.574783,103.800423
108.574783,99.463364
108.574783,111.028870
105.813469,106.980942
106.538834,111.607140
108.574783,107.848351
108.574783,109.583176
105.756470,121.148689
108.574783,110.739731
108.574783,101.776459
108.574783,107.848351
98.746109,109.004906
108.574783,100.041634
108.574783,107.848351
108.574783,103.222153
108.574783,110.739731
108.574783,108.715767
108.574783,108.426628
108.574783,110.161453
108.574783,112.763695
108.574783,111.028870
108.574783,113.341972
108.574783,116.522484
107.072433,105.535255
108.574783,112.763695
108.574783,111.896278
108.574783,105.824387
108.574783,106.691803
108.574783,111.318008
108.574783,110.450592
108.574783,104.089561
89.860062,111.028870
106.652824,109.583176
106.889069,107.270081
108.574783,100.041634
108.574783,111.028870
107.347153,111.607140
108.574783,107.270081
108.574783,112.185417
108.574783,115.365936
107.637276,92.813194
108.574783,101.776459
108.574783,105.246117
108.574783,104.378700
108.574783,109.294044
106.932632,109.872314
108.574783,102.643875
108.574783,110.161453
108.574783,111.028870
108.574783,111.028870
108.574783,104.089561
108.574783,108.715767
108.574783,110.450592
108.574783,109.294044
108.574783,101.487328
108.574783,113.052834
108.574783,110.450592
108.574783,134.449020
108.574783,111.896278
100.310745,108.137489
108.574783,111.896278
108.574783,106.402664
108.574783,88.186989
105.092957,106.691803
,107.848351
,111.318008
,107.559212
,113.341972
,109.583176
,109.583176
,107.270081
,109.294044
,121.148689
,111.607140
,110.450592
,114.787659
,116.233345
,106.113525
,94.258881
,104.667839
,88.476128
,97.150261
,89.921814
,94.837158
